PROBLEM TYPE NAME,PROBLEM,ADDITIONAL INFO,SOLUTION,ACTUAL PROBLEM,SUPPORT TYPE,SOLVED COMMENT,combined_text,cleaned_combined_text
No Internet Connection (FTTH),ONU status offline..,Auto close by sub tt:10286570,Not available,ONU status offline,Field Support,Not available,No Internet Connection (FTTH) ONU status offline.. ONU status offline Field Support Auto close by sub tt:10286570 Not available,internet connection (ftth) onu status offline.. onu status offline field support auto close sub tt:10286570 available
No Internet Connection (FTTH),ONU status offline..,Auto close by sub tt:10298102,Not available,ONU status offline,Field Support,Not available,No Internet Connection (FTTH) ONU status offline.. ONU status offline Field Support Auto close by sub tt:10298102 Not available,internet connection (ftth) onu status offline.. onu status offline field support auto close sub tt:10298102 available
General Inquiry,Manage cable..,Auto close by sub tt:10267838,Not available,Manage cable,Field Support,Not available,General Inquiry Manage cable.. Manage cable Field Support Auto close by sub tt:10267838 Not available,general inquiry manage cable.. manage cable field support auto close sub tt:10267838 available
No Internet Connection (FTTH),ONU status offline..,Auto close by sub tt:10239847,Not available,ONU status offline,Field Support,Not available,No Internet Connection (FTTH) ONU status offline.. ONU status offline Field Support Auto close by sub tt:10239847 Not available,internet connection (ftth) onu status offline.. onu status offline field support auto close sub tt:10239847 available
No Internet Connection (FTTH),ONU status offline..,Auto close by sub tt:10347970,Not available,ONU status offline,Field Support,client will verify again,No Internet Connection (FTTH) ONU status offline.. ONU status offline Field Support Auto close by sub tt:10347970 client will verify again,internet connection (ftth) onu status offline.. onu status offline field support auto close sub tt:10347970 client verify
Accounts Related Issue,Account Disabled..,Auto close by sub tt:10352732,Not available,Account Disabled,Field Support,Not available,Accounts Related Issue Account Disabled.. Account Disabled Field Support Auto close by sub tt:10352732 Not available,account related issue account disabled.. account disabled field support auto close sub tt:10352732 available
No Internet Connection (FTTH),Disconnection problem..,Auto close by sub tt:10270201,Not available,Disconnection problem,Field Support,call dc.,No Internet Connection (FTTH) Disconnection problem.. Disconnection problem Field Support Auto close by sub tt:10270201 call dc.,internet connection (ftth) disconnection problem.. disconnection problem field support auto close sub tt:10270201 call dc.
Slow Internet Connection (FTTH),Everything seems slow at clien..,Auto close by sub tt:10440956,Not available,Everything seems slow at client end devices.,Field Support,Not available,Slow Internet Connection (FTTH) Everything seems slow at clien.. Everything seems slow at client end devices. Field Support Auto close by sub tt:10440956 Not available,slow internet connection (ftth) everything seems slow clien.. everything seems slow client end devices. field support auto close sub tt:10440956 available
General Inquiry,Client wants to add/replacerou..,Auto close by sub tt:10354510,Not available,Client wants to add/replacerouter,Field Support,Not available,General Inquiry Client wants to add/replacerou.. Client wants to add/replacerouter Field Support Auto close by sub tt:10354510 Not available,general inquiry client want add/replacerou.. client want add/replacerouter field support auto close sub tt:10354510 available
No Internet Connection (FTTH),ONU status offline..,Auto close by sub tt:10418862,Not available,ONU status offline,Field Support,Not available,No Internet Connection (FTTH) ONU status offline.. ONU status offline Field Support Auto close by sub tt:10418862 Not available,internet connection (ftth) onu status offline.. onu status offline field support auto close sub tt:10418862 available
General Inquiry,Technical Query..,Auto close by sub tt:10306837,Not available,Technical Query,Field Support,Not available,General Inquiry Technical Query.. Technical Query Field Support Auto close by sub tt:10306837 Not available,general inquiry technical query.. technical query field support auto close sub tt:10306837 available
Slow Internet Connection (FTTH),Speed test fine. Slow experien..,Auto close by sub tt:10319739,Not available,Speed test fine. Slow experience on certain sites,Field Support,PING FINE //,Slow Internet Connection (FTTH) Speed test fine. Slow experien.. Speed test fine. Slow experience on certain sites Field Support Auto close by sub tt:10319739 PING FINE //,slow internet connection (ftth) speed test fine. slow experien.. speed test fine. slow experience certain site field support auto close sub tt:10319739 ping fine //
No Internet Connection (FTTH),ONU status offline..,Auto close by sub tt:10386239,Not available,ONU status offline,Field Support,Not available,No Internet Connection (FTTH) ONU status offline.. ONU status offline Field Support Auto close by sub tt:10386239 Not available,internet connection (ftth) onu status offline.. onu status offline field support auto close sub tt:10386239 available
General Inquiry,Query about Wi-fi SSID/passwor..,Auto close by sub tt:10236905,Not available,Query about Wi-fi SSID/password,Field Support,ssid enable after verify,General Inquiry Query about Wi-fi SSID/passwor.. Query about Wi-fi SSID/password Field Support Auto close by sub tt:10236905 ssid enable after verify,general inquiry query wi-fi ssid/passwor.. query wi-fi ssid/password field support auto close sub tt:10236905 ssid enable verify
General Inquiry,Client wants to upgrade to 5G ..,Auto close by sub tt:10244715,Not available,Client wants to upgrade to 5G plan,Field Support,Not available,General Inquiry Client wants to upgrade to 5G .. Client wants to upgrade to 5G plan Field Support Auto close by sub tt:10244715 Not available,general inquiry client want upgrade 5g .. client want upgrade 5g plan field support auto close sub tt:10244715 available
Accounts Related Issue,Payment Query..,Auto close by sub tt:10268822,Not available,Payment Query,Field Support,some information given // extended for 3 day ,Accounts Related Issue Payment Query.. Payment Query Field Support Auto close by sub tt:10268822 some information given // extended for 3 day ,account related issue payment query.. payment query field support auto close sub tt:10268822 information given // extended 3 day
Accounts Related Issue,Account Disabled - Document no..,Auto close by sub tt:10248074,Not available,Account Disabled - Document not uploaded,Field Support,pdf uploaded,Accounts Related Issue Account Disabled - Document no.. Account Disabled - Document not uploaded Field Support Auto close by sub tt:10248074 pdf uploaded,account related issue account disabled - document no.. account disabled - document uploaded field support auto close sub tt:10248074 pdf uploaded
Accounts Related Issue,Payment Query..,Auto close by sub tt:10298788,Not available,Payment Query,Field Support,informed to verify to vendor,Accounts Related Issue Payment Query.. Payment Query Field Support Auto close by sub tt:10298788 informed to verify to vendor,account related issue payment query.. payment query field support auto close sub tt:10298788 informed verify vendor
No Internet Connection (FTTH),ONU status offline..,Auto close by sub tt:10333613,Not available,ONU status offline,Field Support,Not available,No Internet Connection (FTTH) ONU status offline.. ONU status offline Field Support Auto close by sub tt:10333613 Not available,internet connection (ftth) onu status offline.. onu status offline field support auto close sub tt:10333613 available
No Internet Connection (FTTH),ONU status offline..,Auto close by sub tt:10281720,Not available,ONU status offline,Field Support,Not available,No Internet Connection (FTTH) ONU status offline.. ONU status offline Field Support Auto close by sub tt:10281720 Not available,internet connection (ftth) onu status offline.. onu status offline field support auto close sub tt:10281720 available
Slow Internet Connection (FTTH),Low power level recorded [< -2..,Auto close by sub tt:10277784,Not available,Low power level recorded [< -26 dbm],Field Support,Not available,Slow Internet Connection (FTTH) Low power level recorded [< -2.. Low power level recorded [< -26 dbm] Field Support Auto close by sub tt:10277784 Not available,slow internet connection (ftth) low power level recorded [< -2.. low power level recorded [< -26 dbm] field support auto close sub tt:10277784 available
Accounts Related Issue,Account extend request..,Auto close by sub tt:10281253,Not available,Account extend request,Field Support,3 days,Accounts Related Issue Account extend request.. Account extend request Field Support Auto close by sub tt:10281253 3 days,account related issue account extend request.. account extend request field support auto close sub tt:10281253 3 day
General Inquiry,Technical Query..,Auto close by sub tt:10261517,Not available,Technical Query,Field Support,informed accordingly,General Inquiry Technical Query.. Technical Query Field Support Auto close by sub tt:10261517 informed accordingly,general inquiry technical query.. technical query field support auto close sub tt:10261517 informed accordingly
General Inquiry,Technical Query..,Auto close by sub tt:10308650,Not available,Technical Query,Field Support,code sent for my worldlink wifi,General Inquiry Technical Query.. Technical Query Field Support Auto close by sub tt:10308650 code sent for my worldlink wifi,general inquiry technical query.. technical query field support auto close sub tt:10308650 code sent worldlink wifi
Accounts Related Issue,Account extend request..,Auto close by sub tt:10372043,Not available,Account extend request,Field Support,Not available,Accounts Related Issue Account extend request.. Account extend request Field Support Auto close by sub tt:10372043 Not available,account related issue account extend request.. account extend request field support auto close sub tt:10372043 available
No Internet Connection (FTTH),ONU status offline..,Auto close by sub tt:10320197,Not available,ONU status offline,Field Support,Not available,No Internet Connection (FTTH) ONU status offline.. ONU status offline Field Support Auto close by sub tt:10320197 Not available,internet connection (ftth) onu status offline.. onu status offline field support auto close sub tt:10320197 available
Accounts Related Issue,Query about Packages..,Auto close by sub tt:10322407,Not available,Query about Packages,Field Support,client wants pay only one month package.,Accounts Related Issue Query about Packages.. Query about Packages Field Support Auto close by sub tt:10322407 client wants pay only one month package.,account related issue query packages.. query package field support auto close sub tt:10322407 client want pay one month package.
No Internet Connection (FTTH),ONU status offline..,Auto close by sub tt:10249195,Not available,ONU status offline,Field Support,Not available,No Internet Connection (FTTH) ONU status offline.. ONU status offline Field Support Auto close by sub tt:10249195 Not available,internet connection (ftth) onu status offline.. onu status offline field support auto close sub tt:10249195 available
Accounts Related Issue,Account extend request..,Auto close by sub tt:10306060,Not available,Account extend request,Field Support,net tv extend 3 days,Accounts Related Issue Account extend request.. Account extend request Field Support Auto close by sub tt:10306060 net tv extend 3 days,account related issue account extend request.. account extend request field support auto close sub tt:10306060 net tv extend 3 day
Accounts Related Issue,Online Payment Query..,Auto close by sub tt:10343475,Not available,Online Payment Query,Field Support,Not available,Accounts Related Issue Online Payment Query.. Online Payment Query Field Support Auto close by sub tt:10343475 Not available,account related issue online payment query.. online payment query field support auto close sub tt:10343475 available
General Inquiry,Client wants to upgrade to 5G ..,Auto close by sub tt:10290125,Not available,Client wants to upgrade to 5G plan,Field Support,Not available,General Inquiry Client wants to upgrade to 5G .. Client wants to upgrade to 5G plan Field Support Auto close by sub tt:10290125 Not available,general inquiry client want upgrade 5g .. client want upgrade 5g plan field support auto close sub tt:10290125 available
No Internet Connection (FTTH),Disconnection problem..,Auto close by sub tt:10348390,Not available,Disconnection problem,Field Support,Not available,No Internet Connection (FTTH) Disconnection problem.. Disconnection problem Field Support Auto close by sub tt:10348390 Not available,internet connection (ftth) disconnection problem.. disconnection problem field support auto close sub tt:10348390 available
Slow Internet Connection (FTTH),Everything seems slow at clien..,Auto close by sub tt:10305127,Not available,Everything seems slow at client end devices.,Field Support,Not available,Slow Internet Connection (FTTH) Everything seems slow at clien.. Everything seems slow at client end devices. Field Support Auto close by sub tt:10305127 Not available,slow internet connection (ftth) everything seems slow clien.. everything seems slow client end devices. field support auto close sub tt:10305127 available
Slow Internet Connection (FTTH),Everything seems slow at clien..,Auto close by sub tt:10308580,Not available,Everything seems slow at client end devices.,Field Support,Wireless parameters has been changed. Now working fine as per the client. ,Slow Internet Connection (FTTH) Everything seems slow at clien.. Everything seems slow at client end devices. Field Support Auto close by sub tt:10308580 Wireless parameters has been changed. Now working fine as per the client. ,slow internet connection (ftth) everything seems slow clien.. everything seems slow client end devices. field support auto close sub tt:10308580 wireless parameter changed. working fine per client.
Unknown,Unknown,Not provided,Not available,Unknown,Unknown,Not available,Unknown Unknown Unknown Unknown Not provided Not available,unknown unknown unknown unknown provided available
Slow Internet Connection (FTTH),Low power level recorded [< -2..,Auto close by sub tt:10239721,Not available,Low power level recorded [< -26 dbm],Field Support,SOLVED,Slow Internet Connection (FTTH) Low power level recorded [< -2.. Low power level recorded [< -26 dbm] Field Support Auto close by sub tt:10239721 SOLVED,slow internet connection (ftth) low power level recorded [< -2.. low power level recorded [< -26 dbm] field support auto close sub tt:10239721 solved
General Inquiry,Query about Wi-fi SSID/passwor..,Auto close by sub tt:10337770,Not available,Query about Wi-fi SSID/password,Field Support,client verified through ONU SN num // informed SSID pw as per client request,General Inquiry Query about Wi-fi SSID/passwor.. Query about Wi-fi SSID/password Field Support Auto close by sub tt:10337770 client verified through ONU SN num // informed SSID pw as per client request,general inquiry query wi-fi ssid/passwor.. query wi-fi ssid/password field support auto close sub tt:10337770 client verified onu sn num // informed ssid pw per client request
No Internet Connection (FTTH),ONU status offline..,Auto close by sub tt:10214158,Not available,ONU status offline,Field Support,Not available,No Internet Connection (FTTH) ONU status offline.. ONU status offline Field Support Auto close by sub tt:10214158 Not available,internet connection (ftth) onu status offline.. onu status offline field support auto close sub tt:10214158 available
No Internet Connection (FTTH),No users online in Distributio..,Auto close by sub tt:10277838,Not available,No users online in Distribution/GPON,Field Support,Not available,No Internet Connection (FTTH) No users online in Distributio.. No users online in Distribution/GPON Field Support Auto close by sub tt:10277838 Not available,internet connection (ftth) user online distributio.. user online distribution/gpon field support auto close sub tt:10277838 available
General Inquiry,Manage cable..,Auto close by sub tt:10270797,Not available,Manage cable,Field Support,Not available,General Inquiry Manage cable.. Manage cable Field Support Auto close by sub tt:10270797 Not available,general inquiry manage cable.. manage cable field support auto close sub tt:10270797 available
General Inquiry,Technical Query..,Auto close by sub tt:10236861,Not available,Technical Query,Field Support,onu was offline// client was outside the house// couldn't verify the light// suggested client to call after reaching home to verify,General Inquiry Technical Query.. Technical Query Field Support Auto close by sub tt:10236861 onu was offline// client was outside the house// couldn't verify the light// suggested client to call after reaching home to verify,general inquiry technical query.. technical query field support auto close sub tt:10236861 onu offline// client outside house// verify light// suggested client call reaching home verify
No Internet Connection (FTTH),No users online in Distributio..,Auto close by sub tt:10367908,Not available,No users online in Distribution/GPON,Field Support,Not available,No Internet Connection (FTTH) No users online in Distributio.. No users online in Distribution/GPON Field Support Auto close by sub tt:10367908 Not available,internet connection (ftth) user online distributio.. user online distribution/gpon field support auto close sub tt:10367908 available
No Internet Connection (FTTH),Disconnection problem..,Auto close by sub tt:10288296,Not available,Disconnection problem,Field Support,Not available,No Internet Connection (FTTH) Disconnection problem.. Disconnection problem Field Support Auto close by sub tt:10288296 Not available,internet connection (ftth) disconnection problem.. disconnection problem field support auto close sub tt:10288296 available
Accounts Related Issue,Online Payment Query..,Auto close by sub tt:10360102,Not available,Online Payment Query,Field Support,sugeest client to visit the branch once,Accounts Related Issue Online Payment Query.. Online Payment Query Field Support Auto close by sub tt:10360102 sugeest client to visit the branch once,account related issue online payment query.. online payment query field support auto close sub tt:10360102 sugeest client visit branch
General Inquiry,Query about Wi-fi SSID/passwor..,Auto close by sub tt:10310950,Not available,Query about Wi-fi SSID/password,Field Support,suggest client to inform SN number for client verification to informed password//,General Inquiry Query about Wi-fi SSID/passwor.. Query about Wi-fi SSID/password Field Support Auto close by sub tt:10310950 suggest client to inform SN number for client verification to informed password//,general inquiry query wi-fi ssid/passwor.. query wi-fi ssid/password field support auto close sub tt:10310950 suggest client inform sn number client verification informed password//
IPTV Related Issues,IPTV mapping missing in eSuppo..,Auto close by sub tt:10317707,Not available,IPTV mapping missing in eSupport,Field Support,solve,IPTV Related Issues IPTV mapping missing in eSuppo.. IPTV mapping missing in eSupport Field Support Auto close by sub tt:10317707 solve,iptv related issue iptv mapping missing esuppo.. iptv mapping missing esupport field support auto close sub tt:10317707 solve
General Inquiry,Query about Wi-fi SSID/passwor..,Auto close by sub tt:10306442,Not available,Query about Wi-fi SSID/password,Field Support,ssid ernable//client  verifiied,General Inquiry Query about Wi-fi SSID/passwor.. Query about Wi-fi SSID/password Field Support Auto close by sub tt:10306442 ssid ernable//client  verifiied,general inquiry query wi-fi ssid/passwor.. query wi-fi ssid/password field support auto close sub tt:10306442 ssid ernable//client verifiied
General Inquiry,Location shifting query..,Auto close by sub tt:10340708,Not available,Location shifting query,Field Support,call transfer  to sales,General Inquiry Location shifting query.. Location shifting query Field Support Auto close by sub tt:10340708 call transfer  to sales,general inquiry location shifting query.. location shifting query field support auto close sub tt:10340708 call transfer sale
Accounts Related Issue,Account extend request..,Auto close by sub tt:10286441,Not available,Account extend request,Field Support,Not available,Accounts Related Issue Account extend request.. Account extend request Field Support Auto close by sub tt:10286441 Not available,account related issue account extend request.. account extend request field support auto close sub tt:10286441 available
No Internet Connection (FTTH),Disconnection problem..,Auto close by sub tt:10285873,Not available,Disconnection problem,Field Support,suggested to changed power source ,No Internet Connection (FTTH) Disconnection problem.. Disconnection problem Field Support Auto close by sub tt:10285873 suggested to changed power source ,internet connection (ftth) disconnection problem.. disconnection problem field support auto close sub tt:10285873 suggested changed power source
IPTV Related Issues,Blank Screen / No Signal..,Auto close by sub tt:10276889,Not available,Blank Screen / No Signal,Field Support,call not received,IPTV Related Issues Blank Screen / No Signal.. Blank Screen / No Signal Field Support Auto close by sub tt:10276889 call not received,iptv related issue blank screen / signal.. blank screen / signal field support auto close sub tt:10276889 call received
No Internet Connection (FTTH),No users online in Distributio..,Auto close by sub tt:10267876,Not available,No users online in Distribution/GPON,Field Support,Not available,No Internet Connection (FTTH) No users online in Distributio.. No users online in Distribution/GPON Field Support Auto close by sub tt:10267876 Not available,internet connection (ftth) user online distributio.. user online distribution/gpon field support auto close sub tt:10267876 available
IPTV Related Issues,Error Code 1598:No internet co..,Auto close by sub tt:10355194,Not available,Error Code 1598:No internet connection,Field Support,call disconnected ,IPTV Related Issues Error Code 1598:No internet co.. Error Code 1598:No internet connection Field Support Auto close by sub tt:10355194 call disconnected ,iptv related issue error code 1598:no internet co.. error code 1598:no internet connection field support auto close sub tt:10355194 call disconnected
Accounts Related Issue,Upgrade/Change Subscribed Pack..,Auto close by sub tt:10249845,Not available,Upgrade/Change Subscribed Package,Field Support,follow up done.will contiune account tomorrow.,Accounts Related Issue Upgrade/Change Subscribed Pack.. Upgrade/Change Subscribed Package Field Support Auto close by sub tt:10249845 follow up done.will contiune account tomorrow.,account related issue upgrade/change subscribed pack.. upgrade/change subscribed package field support auto close sub tt:10249845 follow done.will contiune account tomorrow.
Slow Internet Connection (FTTH),Low power level recorded [< -2..,Auto close by sub tt:10373463,Not available,Low power level recorded [< -26 dbm],Field Support,Not available,Slow Internet Connection (FTTH) Low power level recorded [< -2.. Low power level recorded [< -26 dbm] Field Support Auto close by sub tt:10373463 Not available,slow internet connection (ftth) low power level recorded [< -2.. low power level recorded [< -26 dbm] field support auto close sub tt:10373463 available
No Internet Connection (FTTH),ONU status online [No connecti..,Auto close by sub tt:10303543,Not available,ONU status online [No connection log],Field Support, Refresh Renew Status done //as per client working fine ,No Internet Connection (FTTH) ONU status online [No connecti.. ONU status online [No connection log] Field Support Auto close by sub tt:10303543  Refresh Renew Status done //as per client working fine ,internet connection (ftth) onu status online [no connecti.. onu status online [no connection log] field support auto close sub tt:10303543 refresh renew status done //as per client working fine
General Inquiry,Technical Query..,Auto close by sub tt:10265326,Not available,Technical Query,Field Support,Not available,General Inquiry Technical Query.. Technical Query Field Support Auto close by sub tt:10265326 Not available,general inquiry technical query.. technical query field support auto close sub tt:10265326 available
Slow Internet Connection (FTTH),Low power level recorded [< -2..,Auto close by sub tt:10323595,Not available,Low power level recorded [< -26 dbm],Field Support,Not available,Slow Internet Connection (FTTH) Low power level recorded [< -2.. Low power level recorded [< -26 dbm] Field Support Auto close by sub tt:10323595 Not available,slow internet connection (ftth) low power level recorded [< -2.. low power level recorded [< -26 dbm] field support auto close sub tt:10323595 available
General Inquiry,Client wants to upgrade to 5G ..,Auto close by sub tt:10258124,Not available,Client wants to upgrade to 5G plan,Field Support,Not available,General Inquiry Client wants to upgrade to 5G .. Client wants to upgrade to 5G plan Field Support Auto close by sub tt:10258124 Not available,general inquiry client want upgrade 5g .. client want upgrade 5g plan field support auto close sub tt:10258124 available
No Internet Connection (FTTH),ONU status offline..,Auto close by sub tt:10437387,Not available,ONU status offline,Field Support,Not available,No Internet Connection (FTTH) ONU status offline.. ONU status offline Field Support Auto close by sub tt:10437387 Not available,internet connection (ftth) onu status offline.. onu status offline field support auto close sub tt:10437387 available
Slow Internet Connection (FTTH),High Latency seen in single de..,Auto close by sub tt:10250243,Not available,High Latency seen in single device with good RSSI,Field Support,pinging test fine// rang fine,Slow Internet Connection (FTTH) High Latency seen in single de.. High Latency seen in single device with good RSSI Field Support Auto close by sub tt:10250243 pinging test fine// rang fine,slow internet connection (ftth) high latency seen single de.. high latency seen single device good rssi field support auto close sub tt:10250243 pinging test fine// rang fine
General Inquiry,Manage cable..,Auto close by sub tt:10425883,Not available,Manage cable,Field Support,Not available,General Inquiry Manage cable.. Manage cable Field Support Auto close by sub tt:10425883 Not available,general inquiry manage cable.. manage cable field support auto close sub tt:10425883 available
General Inquiry,The client wants a house visit..,Auto close by sub tt:10377654,Not available,The client wants a house visit.,Field Support,Not available,General Inquiry The client wants a house visit.. The client wants a house visit. Field Support Auto close by sub tt:10377654 Not available,general inquiry client want house visit.. client want house visit. field support auto close sub tt:10377654 available
No Internet Connection (FTTH),No users online in Distributio..,Auto close by sub tt:10421274,Not available,No users online in Distribution/GPON,Field Support,Not available,No Internet Connection (FTTH) No users online in Distributio.. No users online in Distribution/GPON Field Support Auto close by sub tt:10421274 Not available,internet connection (ftth) user online distributio.. user online distribution/gpon field support auto close sub tt:10421274 available
Accounts Related Issue,Payment Query..,Auto close by sub tt:10259957,Not available,Payment Query,Field Support,Not available,Accounts Related Issue Payment Query.. Payment Query Field Support Auto close by sub tt:10259957 Not available,account related issue payment query.. payment query field support auto close sub tt:10259957 available
No Internet Connection (FTTH),ONU status offline..,Auto close by sub tt:10259997,Not available,ONU status offline,Field Support,Not available,No Internet Connection (FTTH) ONU status offline.. ONU status offline Field Support Auto close by sub tt:10259997 Not available,internet connection (ftth) onu status offline.. onu status offline field support auto close sub tt:10259997 available
No Internet Connection (FTTH),ONU status offline..,Auto close by sub tt:10275759,Not available,ONU status offline,Field Support,Not available,No Internet Connection (FTTH) ONU status offline.. ONU status offline Field Support Auto close by sub tt:10275759 Not available,internet connection (ftth) onu status offline.. onu status offline field support auto close sub tt:10275759 available
Accounts Related Issue,Online Payment Query..,Auto close by sub tt:10362022,Not available,Online Payment Query,Field Support,Not available,Accounts Related Issue Online Payment Query.. Online Payment Query Field Support Auto close by sub tt:10362022 Not available,account related issue online payment query.. online payment query field support auto close sub tt:10362022 available
No Internet Connection (FTTH),ONU online - ONU IP Issue..,Auto close by sub tt:10334256,Not available,ONU online - ONU IP Issue,Field Support,Not available,No Internet Connection (FTTH) ONU online - ONU IP Issue.. ONU online - ONU IP Issue Field Support Auto close by sub tt:10334256 Not available,internet connection (ftth) onu online - onu ip issue.. onu online - onu ip issue field support auto close sub tt:10334256 available
Accounts Related Issue,Account Disabled..,Auto close by sub tt:10258732,Not available,Account Disabled,Field Support,Not available,Accounts Related Issue Account Disabled.. Account Disabled Field Support Auto close by sub tt:10258732 Not available,account related issue account disabled.. account disabled field support auto close sub tt:10258732 available
Accounts Related Issue,Account extend request..,Auto close by sub tt:10286590,Not available,Account extend request,Field Support,Not available,Accounts Related Issue Account extend request.. Account extend request Field Support Auto close by sub tt:10286590 Not available,account related issue account extend request.. account extend request field support auto close sub tt:10286590 available
General Inquiry,Client wants to upgrade to 5G ..,Auto close by sub tt:10372501,Not available,Client wants to upgrade to 5G plan,Field Support,Not available,General Inquiry Client wants to upgrade to 5G .. Client wants to upgrade to 5G plan Field Support Auto close by sub tt:10372501 Not available,general inquiry client want upgrade 5g .. client want upgrade 5g plan field support auto close sub tt:10372501 available
Accounts Related Issue,Account Disabled..,Auto close by sub tt:10369359,Not available,Account Disabled,Field Support,extended,Accounts Related Issue Account Disabled.. Account Disabled Field Support Auto close by sub tt:10369359 extended,account related issue account disabled.. account disabled field support auto close sub tt:10369359 extended
Accounts Related Issue,Account Disabled..,Auto close by sub tt:10405795,Not available,Account Disabled,Field Support,Not available,Accounts Related Issue Account Disabled.. Account Disabled Field Support Auto close by sub tt:10405795 Not available,account related issue account disabled.. account disabled field support auto close sub tt:10405795 available
Slow Internet Connection (FTTH),Speed test fine. Slow experien..,Auto close by sub tt:10276202,Not available,Speed test fine. Slow experience on certain sites,Field Support,device ping fine/speedtest fine/,Slow Internet Connection (FTTH) Speed test fine. Slow experien.. Speed test fine. Slow experience on certain sites Field Support Auto close by sub tt:10276202 device ping fine/speedtest fine/,slow internet connection (ftth) speed test fine. slow experien.. speed test fine. slow experience certain site field support auto close sub tt:10276202 device ping fine/speedtest fine/
Accounts Related Issue,Upgrade/Change Subscribed Pack..,Auto close by sub tt:10323384,Not available,Upgrade/Change Subscribed Package,Field Support,Not available,Accounts Related Issue Upgrade/Change Subscribed Pack.. Upgrade/Change Subscribed Package Field Support Auto close by sub tt:10323384 Not available,account related issue upgrade/change subscribed pack.. upgrade/change subscribed package field support auto close sub tt:10323384 available
Slow Internet Connection (FTTH),Speed test fine. Slow experien..,Auto close by sub tt:10322707,Not available,Speed test fine. Slow experience on certain sites,Field Support,range seems fine // while pinging device seems fine // speedtest seems fine ,Slow Internet Connection (FTTH) Speed test fine. Slow experien.. Speed test fine. Slow experience on certain sites Field Support Auto close by sub tt:10322707 range seems fine // while pinging device seems fine // speedtest seems fine ,slow internet connection (ftth) speed test fine. slow experien.. speed test fine. slow experience certain site field support auto close sub tt:10322707 range seems fine // pinging device seems fine // speedtest seems fine
IPTV Related Issues,No package details found..,Auto close by sub tt:10443261,Not available,No package details found,Field Support,Not available,IPTV Related Issues No package details found.. No package details found Field Support Auto close by sub tt:10443261 Not available,iptv related issue package detail found.. package detail found field support auto close sub tt:10443261 available
Accounts Related Issue,Account extend request..,Auto close by sub tt:10347241,Not available,Account extend request,Field Support,Not available,Accounts Related Issue Account extend request.. Account extend request Field Support Auto close by sub tt:10347241 Not available,account related issue account extend request.. account extend request field support auto close sub tt:10347241 available
General Inquiry,Query about Wi-fi SSID/passwor..,Auto close by sub tt:10380993,Not available,Query about Wi-fi SSID/password,Field Support,suggested to connect internet,General Inquiry Query about Wi-fi SSID/passwor.. Query about Wi-fi SSID/password Field Support Auto close by sub tt:10380993 suggested to connect internet,general inquiry query wi-fi ssid/passwor.. query wi-fi ssid/password field support auto close sub tt:10380993 suggested connect internet
IPTV Related Issues,NET TV mobile app related..,Auto close by sub tt:10340195,Not available,NET TV mobile app related,Field Support,inform accoridngly,IPTV Related Issues NET TV mobile app related.. NET TV mobile app related Field Support Auto close by sub tt:10340195 inform accoridngly,iptv related issue net tv mobile app related.. net tv mobile app related field support auto close sub tt:10340195 inform accoridngly
Accounts Related Issue,General query...,Auto close by sub tt:10293616,Not available,General query.,Field Support,Not available,Accounts Related Issue General query... General query. Field Support Auto close by sub tt:10293616 Not available,account related issue general query... general query. field support auto close sub tt:10293616 available
Accounts Related Issue,Account extend request..,Auto close by sub tt:10268865,Not available,Account extend request,Field Support,account extended for three day //suggest to client use app ,Accounts Related Issue Account extend request.. Account extend request Field Support Auto close by sub tt:10268865 account extended for three day //suggest to client use app ,account related issue account extend request.. account extend request field support auto close sub tt:10268865 account extended three day //suggest client use app
No Internet Connection (FTTH),ONU status offline..,Auto close by sub tt:10352786,Not available,ONU status offline,Field Support,Not available,No Internet Connection (FTTH) ONU status offline.. ONU status offline Field Support Auto close by sub tt:10352786 Not available,internet connection (ftth) onu status offline.. onu status offline field support auto close sub tt:10352786 available
No Internet Connection (FTTH),No users online in Distributio..,Auto close by sub tt:10355451,Not available,No users online in Distribution/GPON,Field Support,Not available,No Internet Connection (FTTH) No users online in Distributio.. No users online in Distribution/GPON Field Support Auto close by sub tt:10355451 Not available,internet connection (ftth) user online distributio.. user online distribution/gpon field support auto close sub tt:10355451 available
Accounts Related Issue,Account Disabled..,Auto close by sub tt:10298581,Not available,Account Disabled,Field Support,extended,Accounts Related Issue Account Disabled.. Account Disabled Field Support Auto close by sub tt:10298581 extended,account related issue account disabled.. account disabled field support auto close sub tt:10298581 extended
Accounts Related Issue,Account extend request..,Auto close by sub tt:10335066,Not available,Account extend request,Field Support,Not available,Accounts Related Issue Account extend request.. Account extend request Field Support Auto close by sub tt:10335066 Not available,account related issue account extend request.. account extend request field support auto close sub tt:10335066 available
IPTV Related Issues,Live TV buffering..,Auto close by sub tt:10399135,Not available,Live TV buffering,Field Support,working fine now,IPTV Related Issues Live TV buffering.. Live TV buffering Field Support Auto close by sub tt:10399135 working fine now,iptv related issue live tv buffering.. live tv buffering field support auto close sub tt:10399135 working fine
Accounts Related Issue,Account extend request..,Auto close by sub tt:10376358,Not available,Account extend request,Field Support,Not available,Accounts Related Issue Account extend request.. Account extend request Field Support Auto close by sub tt:10376358 Not available,account related issue account extend request.. account extend request field support auto close sub tt:10376358 available
