PROBLEM TYPE NAME,PROBLEM,ADDITIONAL INFO,SOLUTION,ACTUAL PROBLEM,SUPPORT TYPE,SOLVED COMMENT,combined_text,cleaned_combined_text
Unknown,Unknown,Not provided,Not available,Unknown,Unknown,Not available,Unknown Unknown Unknown Unknown Not provided Not available,unknown unknown unknown unknown provided available
No Internet Connection (FTTH),ONU status offline..,Auto close by sub tt:10268846,Not available,ONU status offline,Field Support,Not available,No Internet Connection (FTTH) ONU status offline.. ONU status offline Field Support Auto close by sub tt:10268846 Not available,internet connection (ftth) onu status offline.. onu status offline field support auto close sub tt:10268846 available
Accounts Related Issue,Account Disabled..,Auto close by sub tt:10354491,Not available,Account Disabled,Field Support,Not available,Accounts Related Issue Account Disabled.. Account Disabled Field Support Auto close by sub tt:10354491 Not available,account related issue account disabled.. account disabled field support auto close sub tt:10354491 available
Accounts Related Issue,Query about Packages..,Auto close by sub tt:10334541,Not available,Query about Packages,Field Support,Not available,Accounts Related Issue Query about Packages.. Query about Packages Field Support Auto close by sub tt:10334541 Not available,account related issue query packages.. query package field support auto close sub tt:10334541 available
Accounts Related Issue,Query about Packages..,Auto close by sub tt:10257419,Not available,Query about Packages,Field Support,Not available,Accounts Related Issue Query about Packages.. Query about Packages Field Support Auto close by sub tt:10257419 Not available,account related issue query packages.. query package field support auto close sub tt:10257419 available
Accounts Related Issue,Payment Query..,Auto close by sub tt:10366930,Not available,Payment Query,Field Support,Not available,Accounts Related Issue Payment Query.. Payment Query Field Support Auto close by sub tt:10366930 Not available,account related issue payment query.. payment query field support auto close sub tt:10366930 available
Accounts Related Issue,Upgrade/Change Subscribed Pack..,Auto close by sub tt:10330723,Not available,Upgrade/Change Subscribed Package,Field Support,Not available,Accounts Related Issue Upgrade/Change Subscribed Pack.. Upgrade/Change Subscribed Package Field Support Auto close by sub tt:10330723 Not available,account related issue upgrade/change subscribed pack.. upgrade/change subscribed package field support auto close sub tt:10330723 available
Accounts Related Issue,IPTV Related Issues...,Auto close by sub tt:10401390,Not available,IPTV Related Issues.,Field Support,Not available,Accounts Related Issue IPTV Related Issues... IPTV Related Issues. Field Support Auto close by sub tt:10401390 Not available,account related issue iptv related issues... iptv related issues. field support auto close sub tt:10401390 available
Slow Internet Connection (FTTH),Channel interference seen at 5..,Auto close by sub tt:10314598,Not available,Channel interference seen at 5Ghz,Field Support,wrong ticket ,Slow Internet Connection (FTTH) Channel interference seen at 5.. Channel interference seen at 5Ghz Field Support Auto close by sub tt:10314598 wrong ticket ,slow internet connection (ftth) channel interference seen 5.. channel interference seen 5ghz field support auto close sub tt:10314598 wrong ticket
Online Gaming Issue,PUBG Mobile..,Auto close by sub tt:10258724,Not available,PUBG Mobile,Field Support,device ping seems fine //speedtest also fine but ingame ping above 100ms // safenet registered and suggested to check after restart onu,Online Gaming Issue PUBG Mobile.. PUBG Mobile Field Support Auto close by sub tt:10258724 device ping seems fine //speedtest also fine but ingame ping above 100ms // safenet registered and suggested to check after restart onu,online gaming issue pubg mobile.. pubg mobile field support auto close sub tt:10258724 device ping seems fine //speedtest also fine ingame ping 100ms // safenet registered suggested check restart onu
Accounts Related Issue,Upgrade/Change Subscribed Pack..,Auto close by sub tt:10278604,Not available,Upgrade/Change Subscribed Package,Field Support,Inform to visit office for stb uninstallation.,Accounts Related Issue Upgrade/Change Subscribed Pack.. Upgrade/Change Subscribed Package Field Support Auto close by sub tt:10278604 Inform to visit office for stb uninstallation.,account related issue upgrade/change subscribed pack.. upgrade/change subscribed package field support auto close sub tt:10278604 inform visit office stb uninstallation.
IPTV Related Issues,Others (IPTV)..,Auto close by sub tt:10293843,Not available,Others (IPTV),Field Support,Not available,IPTV Related Issues Others (IPTV).. Others (IPTV) Field Support Auto close by sub tt:10293843 Not available,iptv related issue others (iptv).. others (iptv) field support auto close sub tt:10293843 available
General Inquiry,Manage cable..,Auto close by sub tt:10355699,Not available,Manage cable,Field Support,Not available,General Inquiry Manage cable.. Manage cable Field Support Auto close by sub tt:10355699 Not available,general inquiry manage cable.. manage cable field support auto close sub tt:10355699 available
No Internet Connection (FTTH),No users online in Distributio..,Auto close by sub tt:10244208,Not available,No users online in Distribution/GPON,Field Support,Not available,No Internet Connection (FTTH) No users online in Distributio.. No users online in Distribution/GPON Field Support Auto close by sub tt:10244208 Not available,internet connection (ftth) user online distributio.. user online distribution/gpon field support auto close sub tt:10244208 available
Hotspot Related Issues (WiFi Project),IgniteNet Status Offline..,Auto close by sub tt:10356150,Not available,IgniteNet Status Offline,Field Support,onu offline ticket assing to field team..,Hotspot Related Issues (WiFi Project) IgniteNet Status Offline.. IgniteNet Status Offline Field Support Auto close by sub tt:10356150 onu offline ticket assing to field team..,hotspot related issue (wifi project) ignitenet status offline.. ignitenet status offline field support auto close sub tt:10356150 onu offline ticket assing field team..
No Internet Connection (FTTH),No users online in Distributio..,Auto close by sub tt:10239206,Not available,No users online in Distribution/GPON,Field Support,Not available,No Internet Connection (FTTH) No users online in Distributio.. No users online in Distribution/GPON Field Support Auto close by sub tt:10239206 Not available,internet connection (ftth) user online distributio.. user online distribution/gpon field support auto close sub tt:10239206 available
General Inquiry,Location shifting query..,Auto close by sub tt:10316960,Not available,Location shifting query,Field Support,call transfer to sales ,General Inquiry Location shifting query.. Location shifting query Field Support Auto close by sub tt:10316960 call transfer to sales ,general inquiry location shifting query.. location shifting query field support auto close sub tt:10316960 call transfer sale
Accounts Related Issue,Query about Packages..,Auto close by sub tt:10380593,Not available,Query about Packages,Field Support,Not available,Accounts Related Issue Query about Packages.. Query about Packages Field Support Auto close by sub tt:10380593 Not available,account related issue query packages.. query package field support auto close sub tt:10380593 available
