SEVERITY NAME,ISSUED BY,PROBLEM TYPE NAME,PROBLEM,SOLVED BY,CSR GROUP,ADDITIONAL INFO,SOLUTION,ACTUAL PROBLEM,SUPPORT TYPE,SUPPORT ZONE,ISSUED BY GROUP,SOLVED COMMENT,PLANCAT TYPE,,,
Full Service Affected,admin,Slow Internet Connection (FTTH),Low power level recorded [< -2..,narayan.gharti,Phone Support CSR,optical power level is low(-26 dbm)please do need#l asap,Splicing done using 2mm fiber holder,Low power level recorded [< -26 dbm],Phone Support,CHITWAN,Phone Support CSR,,BTL,,,
Full Service Affected,ilu.dangol,Accounts Related Issue,Query about Packages..,ranjana.parajuli,Customer Care Unit,,Package downgrade query,Query about Packages,Desk Support,PEPSICOLA,Phone Support CSR,already paid,ATL,,,
Full Service Affected,dangol.pralesh,Accounts Related Issue,Query about Packages..,ranjana.parajuli,Customer Care Unit,,Package downgrade query,Query about Packages,Desk Support,PEPSICOLA,Phone Support CSR,paid,BTL,,,
Full Service Affected,safal.basnet,Accounts Related Issue,Query about Packages..,ranjana.parajuli,Customer Care Unit,,Package downgrade query,Query about Packages,Desk Support,PEPSICOLA,Phone Support CSR,paid amount,ATL,,,
Full Service Affected,tek.sharma,Accounts Related Issue,Query about Packages..,ranjana.parajuli,Customer Care Unit,,Package downgrade query,Query about Packages,Desk Support,PEPSICOLA,Phone Support CSR,already paid,ATL,,,
Full Service Affected,abiskar.karki,Hotspot Related Issues (WiFi Project),Scheduled audit (Follow Up)..,sargam.rai,Desk Sales Staffs,,Trouble found and solved via phone,Scheduled audit (Follow Up),Phone Support,DHUNGEDHARA,Phone Support CSR,,WIFI,,,
Full Service Affected,abiskar.karki,Hotspot Related Issues (WiFi Project),Scheduled audit (Follow Up)..,parajuli.aashish,Phone Support L-2 Group,,Trouble found and solved via phone,Scheduled audit (Follow Up),Phone Support,BIRATNAGAR,Phone Support CSR,,ATL,,,
Full Service Affected,safal.basnet,Accounts Related Issue,Payment Query..,jeenita.maharjan,Account,,Amount Related Query,,,,,,,,,
ATL,,,,,,,,,,,,,,,,
Full Service Affected,sujana.maharjan,Accounts Related Issue,Payment Query..,sujana.maharjan,Sales Call Center,,Amount Related Query,,,,,,,,,
BTL,,,,,,,,,,,,,,,,
Full Service Affected,priya.bam,Accounts Related Issue,Payment Query..,durga.jaisi,Account,,Amount Related Query,,,,,,,,,
BTL,,,,,,,,,,,,,,,,
Full Service Affected,usha.thapa,Slow Internet Connection (FTTH),Current bandwidh lower than su..,admin,Phone Support CSR,Auto close by sub tt:10354569,,Current bandwidh lower than subscribed,Field Support,BANEPA,Account,suggest connected from 5g network and guide about 2.4g and 5g coverage and speed.,BTL,,,
Full Service Affected,pawan.bagale,Slow Internet Connection (FTTH),User connected beyond at 2.4Gh..,admin,Phone Support CSR,Auto close by sub tt:10240450,,User connected beyond at 2.4Ghz coverage,Field Support,REGION2-NBU2,Phone Support CSR,ping test latency seen//range issue seen//sugested to connect on range //router reposition//and suggested for sec router,BTL,,,
Full Service Affected,khusbu.bhandari_wfn,Online Gaming Issue,Free Fire Mobile..,admin,Phone Support CSR,Auto close by sub tt:10325759,,Free Fire Mobile,Field Support,BHAIRAHAWA,Wifi-Nepal,,ATL,,,
